last month|sengetsu
ten (small roundish things)|jukko
your older sister|oneesan
the back of the blackboard|kokubanno ushiro
please come here|kokoni kite kudasai
February 3rd, 1974|senkyuuhyakunanajuuyonen nigatsu mikka
miss Suzuki's house|Suzukisanno ie
Good morning|ohayou gozaimasu
John saw a mountain|Jonsanwa yamawo mimashita
march|sangatsu
that x|sono
it will be|deshou
please give me one sheet of paper.|kamiwo ichimai kudasai
likeable / like|suki
big|ookii
I'm eating|tabete imasu
oh, really?|aa sou
i'll ask mom|okaasanni kikimasu
the teachers|senseitachi
police box|kouban
one thousand|sen
there are seven roads|michiga nanahon arimasu
five|go
desk|tsukue
Mr Suzuki has had the flu since Monday|Suzukisanwa getsuyoubi kara infuruenza desu
12:31|juuniji sanjuuippun
usually|futsuu
color|iro
shoulder|kata
sandwitch|sandoichi
5000 yen|gosenen
December 14th, 2010|nisenjuunen juunigatsu juuyokka
onion|tamanegi
cool|suzushii
i hate february the most|nigatsuga ichiban kirai desu
chest|mune
won't you eat? i'll eat|tabemasenka. tabemasu
there were thirty students|seitoga sanjuunin imashita
it was a dog|inu deshita
night|yoru
six minutes|roppun
my mom|haha
this month|kongetsu
what year?|nannen
nine hundred|kyuuhyaku
John has short hair|Jonsanwa kamino kega mijikai
right|migi
where did that old man go?|ano ojiisanwa dokoni ikimashitaka
people|hitotachi
bookseller|honyasan
spring|haru
nose / flower|hana
this is a newspaper|korewa shinbun desu
i'll go on monday. i'll also go on tuesday|getsuyoubini ikimasu. kayoubinimo ikimasu
Mariko, is there a person you like?|Marikosan sukina hitoga imasuka
I'm not feeling so well|guaiga chotto warui desu
How many horses did you see?|umawo nanbiki mimashitaka
let's play baseball tomorrow|ashita yakyuuwo shimashou
there is a lake|mizuumiga arimasu
i watched tv on monday|watashiwa getsuyoubini terebiwo mimashita
there's a dog under the table|inuga teeburuno shitani imasu
there are birds this year|kotoshi toriga imasu
is march winter?|sangatsuwa fuyu desuka
i like potatoes. i also like bread|imoga suki desu. panmo suki desu
next year|rainen
It's 3:35. This store is open until 5:00|sanji sanjuugofun desu. kono misewa goji made desu
there were eleven garbage cans|gomibakoga juuikko arimashita
let's eat|tabemashou
they eat grass|kusawo tabemasu
automatic bicycle (motorcycle)|outobai
noon|hiru
a lot of|takusanno
i really like you!|anataga daisuki desu
Mark is a Canadian. He's tall. He has green eyes and brown hair. His ears are small but his eyes are big. He's a charming person!|Marukusanwa kanadajin desu. sega takai desu. mega midoriiro de kamino kega chairo desu. mimiga chiisai desuga mega ookii. sutekina hito desu
my younger brother|otouto
how many cups are there?|koppuga nanko arimasuka
pen|pen
how many people are there?|nannin imasuka
i ate it|watashiga tabemashita
this location (here) is america|kokowa amerika desu
The cat is watching the mouse|nekowa nezumiwo mite imasu
knife|naifu
a person from ~|jin
i didn't read|yomimasen deshita
good (skilled)|jouzu
won't you go?|ikimasenka
How many centimeters is your height?|shinchi youwa nan senchi desuka
is that so?|sou desuka
yes, that is my telephone number|hai sorewa watashino denwa bangou desu
hardwood floor|yuka
buy (*2)|kaimasu katte
What is the month and date?|nangatsu nannichi desuka
do (*2)|shimasu shite
one (counter for animals)|ippiki
your pencil|anatano enpitsu
narrow / cramped|semai
i will drink this water|watashiwa kono mizuwo nomimasu
One year|ichinen
That person was standing at the station|sono hitowa ekini tatte imashita
a drive|doraibu
noisy|urusai
to read|yomimasu
September 9th, 2000|nisennen kugatsu kokonoka
how many? (small roundish things)|nanko
three hundred|sanbyaku
it's july.|shichigatsu desu
mcdonald's|makudonarudo
slender|hosoi
a place of work|kaisha
dinner|bangohan
What day of the month is it?|nannichi desuka
mouth|kuchi
counter for years|nen
hospital|byouin
road|mira
in the summer, i like hiking. in the fall, i go on walks every day. I like the countryside. What are your hobbies?|natsuwa haikinguga suki desu. akiwa mainichi sanponi ikimasu. inakaga suki desu. shumiwa nan desuka
the ninth of the month|kokonoka
mom / your mom|okaasan
...but (2)|keredomo
When is your favorite season?|anatano ichiban sukina kisetsuwa itsu desuka
oh, is that so?|aa sou desuka
John went to college, but he didn't study|Jonsanwa daigakuni ikimashita kedo benkyou shimasen deshita
did your husband go?|dannasanwa ikimashitaka
John made a phone call to Mariko|Jonsanwa Marikosanni denwa shimashita
disagreeable / dislike|kirai
I like the fall|akiga suki desune
bath|ofuro
american football|futtobouru
asian pear|nashi
weather|otenki
she saw a cat|nekowo mimashita
female|onna
sports|supoutsu
sightseeing|kengaku
there is no river|kawaga arimasen
why?|naze
coin|dama
not good|yokunai
This fish is big, isn't it! You cooked this? (to John)|kono sakanawa ookii desune. kore Jonsanga ryori shimashitaka
i like that (twenty-something) girl.|ano oneesanga suki desu
the teacher is here|senseiwa kokoni imasu
to pull / to catch (a cold) (*2)|hikimasu hiite
vegetables|yasai
there|soko
blow (one's nose) (*2)|kamimasu kande
ten thousand|man
long|nagai
i'm well|genki desu
John ate ramen|Jonsanwa ramenwo tabemashita
there are four|yottsu arimasu
quiet|shizuka
i like carrots the best|ninjinga ichiban suki desu
This beer is disgusting|kono biiruwa mazui
i was a student|watashiwa gakusei deshita
music|ongaku
was|deshita
and / with|to
my dad|chichi
fork|houku
from|kara
the year before last|ototoshi
counter for long, cylindrical things|hon
bus|basu
i ate five apples|ringowo itsutsu tabemashita
the tenth of the month|touka
this x|kono
bookstore|honya
uncle|ojisan
rise (*2)|agarimasu agatte
bookshelf|hondana
the week before last week|sensenshuu
please give me that|sorewo kudasai
science museum|kagaku hakubutsukan
It's blue-green|aoi desu
may i have?|wo kudasai
It's a plate. I wonder if I should buy it|sara desu. kaimashoukane
woman|onnano hito
are you japanese? i'm japanese, too.|anatawa nihonjin desuka. watashimo nihonjin desu
wasn't|dewa arimasen deshita
It's a purple dish|murasakino sara desu
it's close, isn't it?|chikai desune
How many? (counter for animals)|nanbiki
eleven minutes|juuippun
was it a dog?|inu deshitaka
i like ~|ga suki desu
strawberry|ichigo
He's 47. His birthday was last month|yonjuunanasai desu. sengetsuga tanjoubi deshita
now / at the moment / living room|ima
person counter|nin
cool / awesome / incredible|sugoi
grass|kusa
counter for yen|en
please give me water|mizuwo kudasai
there are two|futatsu arimasu
four people|yonin
the fourteenth of the month|juuyokka
four o'clock|yoji
how many are there?|ikutsu arimasuka
every- prefix / counter for sheets|mai
the first of the month|tsuitachi
The water is not blue|mizuwa aokunai
100 yen|hyakuen
there you are / go ahead / after you|douzo
postal stamp|kitte
to wait (*2)|machimasu matte
mobile phone|keita denwa
go down (*2)|sagarimasu sagatte
yeah, i like it.|un suki desuyo
runny nose / snot|hanamizu
Did you have a fever?|netsuga arimashitaka
write (*2)|kakimasu kaite
was good|yokatta
tooth|ha
Oh, that's good|a sorega ii desune
i went to school and studied|gakkouni itte benkyou shimashita
lemon|remon
There were three cats|nekoga sanbiki imashita
no|iie
What time is it (now)?|ima nanji desuka
I've had a cough since Friday|kinyoubi kara sekiga demasu
six (small roundish things)|rokko
Mr. Suzuki is a bad teacher, isn't he?|Suzukisanwa hetana sensei desune
diarrhea|geri
child / counter for small, roundish things|ko
last week mrs. Suzuki read|senshuu Suzukisanwa yomimashita
I don't know that person|sono hitowo shirimasen
four hundred|yonhyaku
ice cream|aisukuri-mu
test|tesuto
This is not a white garbage can|korewa shiroi gomibakodewa arimasen
you|anata
October 14th|juugatsu juuyokka
How old is your father?|otousanwa oikutsu desuka
There is an ugly house over there.|asokoni minikui iega arimasu
tasty / delicious|oishii
how many sheets of paper are there?|kamiga nanmai arimasuka
what (alternative form)|nani
monday|getsuyoubi
I have slender fingers|watashiwa yubiga hosoi desu
It's 2500 yen|nisengohyakuen desu
bread store (bakery)|panya
time|jikan
how many pens are there?|penga nanbon arimasuka
I went to school at 8:20|hachiji nijuppunni gakkouni ikimashita
welcome to|e youkoso
Oh, what time is it now?|a ima nanji desuka
suffix for month of year|gatsu
your wife|okusan
unadorned raw fish|sashimi
one person|hitori
hair|ke
three minutes|sanfun
John's radio is noisy. I don't like it.|Jonsanno rajiowa urusai. sukidewa nai
Do you know this person?|kono hitowo shitte imasuka
wasn't good|yokunakatta
March 20th, 2500|nisengohyakunen sangatsu hatsuka
potato|imo
John went to the convenience store with Mariko|Jonsanwa Marikosanto konbinini ikimashita
please give me the cat|nekowo kudasai
It's half past two|niji han desu
i am John|watashiwa Jon desu
soy sauce|shouyu
post office|yuubinkyoku
i'm sorry.|sumimasen
beverage|nomimono
where will you go?|anatawa dokoni ikimasuka
skewered chicken|yakitori
shall we go?|ikimashouka
brown|chairo
won't you see?|mimasenka
a low cloud|hikui kumo
japanese clothing|wafuku
western clothing|youfuku
shirt|shatsu
slacks / pants|zubon
wear (upper body) (*2)|kimasu kite
wear (lower body) (*2)|hakimasu haite
I put on a shirt.|shatsuwo kimashita
Mariko is wearing red pants.|Marikosanwa akai zubonwo haite imasu
John is not wearing a shirt.|Jonsanwa shatsuwo kite imasen
Miss Suzuki was wearing a kimono.|Suzukisanwa kimonowo kite imashita
She wasn't wearing Western clothes. She was wearing Japanese clothing.|sono hitowa yofukuwo kite imasen deshita. wafukuwo kite imashita
dress|doresu
suit|suutsu
men's dress shirt|waishatsu
sweater|seetaa
underwear (in general)|shitagi
underpants|pantsu
bra|bura
sock|sokusu
shoe|kutsu
high heels|haihiiru
Mariko is wearing a sweater|Marikosanwa seetaawo kite imasu
I will not wear shoes today|kyou watashiwa kutsuwo hakimasen
Hanako was wearing a pretty dress|Hanakosanwa kireina doresuwo kite imashita
What color socks are you wearing?|naniirono sokusuwo haite imasuka
earring|iyaringu
necktie|nekutai
muffler / scarf|mafuraa
belt|beruto
glove|tebukuro
hat|boushi
wear on the head (*2)|kaburimasu kabutte
wear around (waist, hands) (*2)|hamemasu hamete
John was wearing a tie|Jonsanwa nekutaiwo shite imashita
Mariko was wearing gloves yesterday|kinou Marikosanwa tebukurowo hamete imashita
John wears a hat every day|Jonsanwa mainichi boushiwo kaburimasu
Mariko, are you going to tonight's party?|Marikosan kyouno paatiini ikimasuka
Yeah, I'm going. How about you? (to John)|un ikimasu. Jonsanwa
I'm going. What are you going to wear?|ikimasu. naniwo kimasuka
I'm going to wear a black dress|kuroi doresuwo kimasu
I'm thinking I might wear a suit. What do you think?|watashiwa suutsuwo kimashoukane. dou desuka
It's a grey suit. The necktie is blue. And I'll wear brown shoes. Are you going to wear earrings? (to Mariko)|gureeno suutsu desu. nekutaiwa aoi desu. soshite chairono kutsuwo hakimasu. Marikosanwa iyaringuwo shimasuka
Yeah. How about you? (about wearing earrings, to John)|shimasuyo. Jonsanwa
(laughts) No, no (about wearing earrings). Well, I'm looking forward to the party!|hahaha shimasen shimasen. ja paatiiwo tanoshimini shite imasu
to look forward to something|tanoshimini shimasu
I'm looking forward to summer vacation|natsu yasumiwo tanoshimini shite imasu
summer vacation|natsu yasumi
Ooh, a suit sounds nice. What color suit is it?|suutsuga ii desune. naniirono suutsu desuka
japanese girl|yamatonadeshiko
good job!|otsukaresama
cigarette|tobako
Do you smoke?|tobako suimasuka
sleepy|nemui
intonation|hatsuon
She went by car.|kurumade ikimashita
She came by train.|denshade kimashita
She spoke by phone.|denwade hanashimashita
What will she go by?|nande ikimasuka
John is speaking in French|Jonsanwa furansugode hanashite imasu
John read the newspaper at the station.|Jonsanwa ekide shinbunwo yomimashita
Mariko is studying English in America.|Marikosanwa amerikade eigowo benkyou shite imasu
I watched TV in my bedroom.|heyade terebiwo mimashita
I cleaned the car in front of the house.|ieno maede kurumawo souji shimashita
She is sitting inside the car.|kurumano nakani suwatte imasu
He was standing in the kitchen.|daidokoroni tatte imashita
John will go to Germany by train.|Jonsanwa denshade doitsuni ikimasu
Germany|doitsu
Mariko was reading a book in the train.|Marikosanwa denshade honwo yonde imashita
In America, the people are tall.|amerikadewa hitowa sega takai
In Japan, gasoline is expensive.|nihondewa gasolinga takai desu
Are there cats in China?|chuugokudewa nekoga imasuka
boat|fune
plane|hikouki
bullet train|shinkansen
Los Angeles|losanzerusu
Chicago|shikago
Seattle|shiatoru
London|london
suffix for states|shuu
run (*2)|hashirimasu hashitte
walk (*2)|arukimasu aruite
swim (*2)|oyogimasu oyoide
fly (*2)|tobimasu tonde
drive|unten shimasu
Washington state|washintonshuu
New York state|nyuuyoukushuu
I'll fly by plane next week from Chicago to Seattle|raishuu shikago kara shiatoru made hikoukide tobimasu
Last year I drove from Washington State to New York State|kyonen washintonshuu kara nyuuyoukushuu made unten shimashita
Let's swim from Japan to America|nihon kara amerika made oyogimashou
I went from New York to London by boat, but it wasn't fun.|nyuuyouku kara london made funede ikimashita kedo tanoshikunakatta
Won't you see a movie tomorrow?|ashita eigawo mimasenka
That sounds nice. Where shall we see it?|ii desune. dokode mimashouka
There's a nice theater in Shinjuku. Let's see it there.|shinjukuni ii eigakanga arimasu. asokode mimashou
How shall we go? By taxi or train?|nande ikimashouka. takushiide ikimashouka. denshade ikimashouka
Hmm...Taxis are expensive. Let's take the train.|takushiiwa takaine. denshade ikimashou
What time shall we go?|nanjini ikimashouka
Let's take the 6:30 train.|rokuji sanjuppunno denshade ikimashou
I was drunk yesterday|kinou osake nomimashita
to remember|oboemasu
I want to say|iitai
Do you always wake up in the morning?|asawa itsumo nanji ni okimasuka
It is different|chigau
same|issho
congratulations|omedetougozaimasu
work (the concept)|shigoto
work (the place)|shigotoba
part-time job|arubaito
factory|koujou
office|jimusho
(one's) pay|kyuuryou
to work (*2)|hatarakimasu hataraite
Where do you work?|dokode hataraite imasuka
I work at Sony|sonyde hataraite imasu
What kind of work do you do there?|sokode donna shigotowo shite imasuka
professor|kyouju
lawyer|bengoshi
office worker|sarariiman
secretary|hisho
shopkeeper|tenin
sofware|softo
programmer|puroguramaa
I work at a bank|ginkoude hataraite imasu
Mr. Suzuki works at a college|suzukisanwa daigakude hataraite imasu
Mariko works at a bakery.|Marikosanwa panyade hataraite imasu
John works at a bookstore.|Jonsanwa honyade hataraite imasu
Mariko is a florist.|Marikosanwa hanayasan desu
John is a computer shop worker|Jonsanwa konpyuutaayasan desu
president of company|shachou
department head|buchou
employee|juugyouin
colleague|douryou
editing|penshuu
~ Department|bu
department|bumon
section head|kachou
accounting|kaikei
~ Section|ka
to wait (*2)|machimasu matte
Are you busy at work?|shigotowa isogashii desuka
Mariko is waiting for the train|Marikosanwa denshawo matte imasu
John waited for the phone call.|Jonsanwa denwawo machimashita
What are you waiting for?|naniwo matte imasuka
Miss Suzuki! Please wait a moment!|Suzukisan chotto matte kudasai
Mariko, where do you work?|Marikosanwa dokode hataraite imasuka
I work at a software company in Tokyo.|toukyouno softono kaishade hataraite imasu
Is it enjoyable work?|tanoshii shigoto desuka
Yeah, the president is nice. My colleagues are nice people, too.|un shachouwa yasashii. douryoumo yasashii hitotachi desu
That sounds nice. I'm an attorney, and our president is really mean. The work is difficult, too. But the pay is good.|ii desune. watashiwa bengoshi desu kedo shachouwa totemo kibishii desu. shigotomo muzukashii. demo kyuuryouga ii
How long have you worked there?|itsu kara sokode hataraite imasuka
From last summer. How long have you worked at the software company?|kyonenno natsu kara desu. Marikosanwa itsu kara softono kaishade hataraite imasuka
From February of this year. Hey, shall we get some lunch?|kotoshino nigatsu kara desu. ne hirugohanwo tabemashouka
Sounds good|ii desune
